,Unknown
1530,78
1531,103
1532,168
1533,111
1534,69
1535,88
1536,109
1537,35
1538,85
1539,98
1540,93
1541,73
1542,89
1543,112
1544,56
1545,101
1546,53
1547,88
1548,56
1549,72
1550,77
1551,57
1552,67
1553,89
1554,67
1555,62
1556,78
1557,69
1558,76
1559,57
1560,72
1561,82
1562,76
1563,51
1564,59
1565,72
1566,87
1567,49
1568,28
1569,34
1570,57
1571,62
1572,47
1573,42
1574,47
1575,44
1576,46
1577,72
1578,64
1579,28
1580,43
1581,34
1582,44
1583,"46,103"
1584,"46,478"
1585,"43,908"
1586,"31,507"
1587,"20,913"
1588,"29,168"
1589,"29,678"
1590,"30,621"
1591,"29,002"
1592,"26,377"
1593,"21,685"
1594,"21,908"
1595,"22,449"
1596,"12,340"
1597,"13,902"
1598,"15,678"
1599,"13,639"
1600,"12,486"
1601,"14,246"
1602,"8,563"
1603,"9,813"
1604,"11,941"
1605,"10,353"
1606,"8,029"
1607,"9,702"
1608,"9,944"
1609,"8,387"
1610,"7,216"
1611,"9,631"
1612,"8,335"
1613,"6,273"
1614,"6,562"
1615,"7,408"
1616,"6,621"
1617,"6,702"
1618,"8,496"
1619,"5,879"
1620,"6,221"
1621,"7,130"
1622,"6,007"
1623,"6,134"
1624,"8,487"
1625,"7,821"
1626,"6,402"
1627,"4,694"
1628,"4,500"
1629,"4,915"
1630,"5,501"
1631,"3,582"
1632,"5,788"
1633,"3,370"
1634,"3,336"
1635,"4,516"
1636,"4,671"
1637,"4,751"
1638,"2,893"
1639,"4,491"
1640,"2,674"
1641,"2,958"
1642,"5,466"
1643,"3,927"
1644,"2,437"
1645,"4,304"
1646,"4,279"
1647,"3,573"
1648,"2,292"
1649,"2,626"
1650,"2,276"
1651,"2,651"
1652,"1,967"
1653,"3,084"
1654,"3,111"
1655,"2,755"
1656,"2,161"
1657,"4,187"
1658,"2,176"
1659,"1,975"
1660,"2,494"
1661,"2,278"
1662,"1,797"
1663,"1,833"
1664,"1,727"
1665,"2,375"
1666,"2,116"
1667,"2,903"
1668,"2,195"
1669,"2,554"
1670,"2,345"
1671,"2,740"
1672,"1,643"
1673,"1,706"
1674,"2,373"
1675,"3,118"
1676,"1,991"
1677,"1,707"
1678,"2,412"
1679,"2,116"
1680,"1,235"
1681,"1,715"
1682,"2,833"
1683,"2,183"
1684,"3,193"
1685,"1,965"
1686,"1,720"
1687,"1,742"
1688,"2,910"
1689,"1,778"
1690,"2,054"
1691,"1,605"
1692,"2,172"
1693,"1,427"
1694,"1,427"
1695,"1,139"
1696,"1,685"
1697,"1,306"
1698,603
1699,"2,050"
1700,"1,364"
1701,"1,236"
1702,"1,243"
1703,"1,520"
1704,"1,372"
1705,"1,259"
1706,"1,773"
1707,"1,546"
1708,"1,526"
1709,"1,503"
1710,"1,328"
1711,"1,251"
1712,"1,307"
1713,823
1714,"1,582"
1715,808
1716,"1,674"
1717,"2,537"
1718,"1,160"
1719,"1,275"
1720,"1,716"
1721,"1,292"
1722,"1,432"
1723,"1,018"
1724,"1,118"
1725,"1,416"
1726,590
1727,"1,219"
1728,"1,130"
1729,806
1730,"1,025"
1731,"1,153"
1732,821
1733,759
1734,"1,069"
1735,"1,337"
1736,"1,124"
1737,962
1738,819
1739,"1,127"
1740,607
1741,"1,223"
1742,862
1743,956
1744,572
1745,402
1746,660
1747,842
1748,545
1749,614
1750,"1,224"
1751,507
1752,862
1753,500
1754,750
1755,394
1756,831
1757,680
1758,758
1759,687
1760,896
1761,580
1762,732
1763,446
1764,705
1765,592
1766,826
1767,567
1768,447
1769,843
1770,611
1771,583
1772,639
1773,558
1774,725
1775,672
1776,456
1777,286
1778,475
1779,624
1780,676
1781,752
1782,602
1783,862
1784,684
1785,467
1786,590
1787,264
1788,540
1789,618
1790,469
1791,432
1792,495
1793,342
1794,387
1795,599
1796,196
1797,437
1798,527
1799,447
1800,433
1801,464
1802,576
1803,434
1804,426
1805,481
1806,380
1807,507
1808,432
1809,410
1810,523
1811,509
1812,394
1813,358
1814,535
1815,416
1816,581
1817,315
1818,290
1819,408
1820,325
1821,361
1822,328
1823,290
1824,293
1825,288
1826,280
1827,248
1828,347
1829,240
1830,322
1831,357
1832,245
1833,545
1834,303
1835,182
1836,264
1837,214
1838,230
1839,347
1840,157
1841,269
1842,254
1843,230
1844,236
1845,281
1846,271
1847,225
1848,142
1849,239
1850,177
1851,319
1852,304
1853,249
1854,246
1855,161
1856,210
1857,146
1858,192
1859,211
1860,172
1861,132
1862,275
1863,211
1864,79
1865,188
1866,288
1867,147
1868,158
1869,145
1870,79
1871,115
1872,216
1873,174
1874,142
1875,150
1876,123
1877,137
1878,190
1879,186
1880,108
1881,101
1882,124
1883,180
1884,225
1885,189
1886,79
1887,142
1888,177
1889,121
1890,121
1891,185
1892,76
1893,101
1894,203
1895,139
1896,134
1897,134
1898,122
1899,104
1900,103
1901,103
1902,94
1903,120
1904,107
1905,138
1906,79
1907,110
1908,101
1909,128
1910,154
1911,131
1912,173
1913,106
1914,28
1915,56
1916,87
1917,99
1918,92
1919,58
1920,62
1921,76
1922,111
1923,90
1924,90
1925,72
1926,60
1927,53
1928,82
1929,66
1930,81
1931,92
1932,92
1933,56
1934,60
1935,83
1936,75
1937,51
1938,41
1939,60
1940,24
1941,55
1942,59
1943,86
1944,38
1945,31
1946,76
1947,77
1948,61
1949,56
1950,23
1951,47
