,Power
681,91.75
682,282.25
683,410.0
684,100.0
685,163.5
686,74.0
687,110.6666667
688,29.0
689,111.2
690,125.36
691,82.15789474
692,127.6666667
693,84.0
694,381.0
695,117.7857143
696,89.2
697,78.0
698,72.85185185
699,60.625
700,103.5
701,174.3333333
702,93.6
703,121.0
704,120.4255319
705,390.0
706,63.29411765
707,66.35483871
708,103.0833333
709,116.25
710,45.0
711,73.08333333
712,150.6086957
713,119.6666667
714,190.0
715,103.0
716,114.0
717,79.875
718,75.0
719,125.0487805
720,316.3333333
721,98.0
722,101.0
723,137.5
724,69.0
725,126.1451613
726,67.33333333
727,88.0
728,115.4666667
729,163.7142857
730,257.5
731,54.5
732,121.0
733,190.0
734,90.94117647
735,188.0
736,336.0
737,118.0
738,144.375
739,122.1428571
740,114.5
741,250.0
742,141.4444444
