,Fuel
1297,diesel
1298,petrol
1299,diesel
1300,petrol
1301,petrol
1302,petrol
1303,petrol
1304,petrol
1305,petrol
1306,petrol
1307,petrol
1308,petrol
1309,diesel
1310,petrol
1311,petrol
1312,petrol
1313,diesel
1314,petrol
1315,petrol
1316,petrol
1317,diesel
1318,petrol
1319,petrol
1320,petrol
1321,petrol
1322,petrol
1323,petrol
1324,automatic
1325,petrol
1326,petrol
1327,petrol
1328,petrol
1329,diesel
1330,diesel
1331,petrol
1332,petrol
1333,petrol
1334,diesel
1335,petrol
1336,petrol
1337,petrol
1338,petrol
1339,diesel
1340,petrol
1341,diesel
1342,petrol
1343,diesel
1344,petrol
1345,petrol
1346,petrol
1347,petrol
1348,petrol
1349,petrol
1350,petrol
1351,diesel
1352,petrol
1353,petrol
1354,petrol
1355,petrol
1356,petrol
1357,petrol
1358,petrol
1359,petrol
1360,petrol
1361,petrol
1362,petrol
1363,petrol
1364,petrol
1365,petrol
1366,petrol
1367,automatic
1368,diesel
1369,petrol
1370,petrol
1371,petrol
1372,diesel
1373,petrol
1374,petrol
1375,diesel
1376,petrol
1377,petrol
1378,petrol
1379,petrol
1380,petrol
1381,petrol
1382,petrol
1383,petrol
1384,petrol
1385,petrol
1386,petrol
1387,petrol
1388,petrol
1389,petrol
1390,petrol
1391,petrol
1392,petrol
1393,petrol
1394,diesel
1395,diesel
1396,petrol
1397,petrol
1398,petrol
1399,petrol
1400,petrol
1401,petrol
1402,petrol
1403,diesel
1404,petrol
1405,petrol
1406,petrol
1407,petrol
1408,petrol
1409,petrol
1410,petrol
1411,petrol
1412,petrol
1413,petrol
1414,diesel
1415,petrol
1416,petrol
1417,petrol
1418,petrol
1419,petrol
1420,automatic
1421,petrol
1422,petrol
1423,petrol
1424,petrol
1425,petrol
1426,petrol
1427,diesel
1428,petrol
1429,petrol
1430,petrol
1431,petrol
1432,petrol
1433,petrol
1434,petrol
1435,petrol
1436,petrol
1437,petrol
1438,petrol
1439,petrol
1440,diesel
1441,petrol
1442,petrol
1443,petrol
1444,petrol
1445,petrol
1446,petrol
1447,petrol
1448,petrol
1449,petrol
1450,diesel
1451,petrol
1452,petrol
1453,petrol
1454,petrol
1455,petrol
1456,diesel
1457,petrol
1458,petrol
1459,diesel
1460,petrol
1461,petrol
1462,petrol
1463,petrol
1464,petrol
1465,petrol
1466,petrol
1467,petrol
1468,petrol
1469,petrol
1470,petrol
1471,petrol
1472,automatic
1473,petrol
1474,petrol
1475,petrol
1476,petrol
1477,petrol
1478,diesel
1479,petrol
1480,petrol
1481,petrol
1482,petrol
1483,petrol
1484,diesel
1485,petrol
1486,petrol
1487,petrol
1488,petrol
1489,petrol
1490,petrol
1491,petrol
1492,diesel
1493,petrol
1494,diesel
1495,petrol
1496,petrol
1497,petrol
1498,diesel
1499,petrol
1500,petrol
1501,petrol
1502,petrol
1503,petrol
1504,diesel
1505,petrol
1506,petrol
1507,petrol
1508,petrol
1509,diesel
1510,petrol
1511,diesel
1512,petrol
1513,petrol
1514,petrol
1515,petrol
1516,petrol
1517,diesel
1518,petrol
1519,petrol
1520,petrol
1521,diesel
1522,petrol
1523,petrol
1524,petrol
1525,petrol
1526,petrol
1527,petrol
1528,diesel
1529,petrol
1530,petrol
1531,petrol
1532,petrol
1533,petrol
1534,petrol
1535,petrol
1536,diesel
1537,petrol
1538,petrol
1539,petrol
1540,petrol
1541,petrol
1542,petrol
1543,petrol
1544,petrol
1545,petrol
1546,petrol
1547,petrol
1548,diesel
1549,petrol
1550,petrol
1551,petrol
1552,petrol
1553,petrol
1554,diesel
1555,diesel
1556,petrol
1557,petrol
1558,petrol
1559,petrol
1560,petrol
1561,petrol
1562,petrol
1563,petrol
1564,petrol
1565,petrol
1566,petrol
1567,petrol
1568,petrol
1569,diesel
1570,petrol
1571,petrol
1572,petrol
1573,petrol
1574,diesel
1575,petrol
1576,diesel
1577,petrol
1578,petrol
1579,petrol
1580,petrol
1581,diesel
1582,diesel
1583,petrol
1584,petrol
1585,petrol
1586,petrol
1587,petrol
1588,petrol
1589,petrol
1590,petrol
1591,petrol
1592,petrol
1593,petrol
1594,petrol
1595,petrol
1596,petrol
1597,petrol
1598,petrol
1599,petrol
1600,petrol
1601,petrol
1602,petrol
1603,petrol
1604,petrol
1605,petrol
1606,petrol
1607,petrol
1608,petrol
1609,diesel
1610,diesel
1611,petrol
1612,petrol
1613,diesel
1614,petrol
1615,petrol
1616,petrol
1617,petrol
1618,petrol
1619,petrol
1620,petrol
1621,petrol
1622,diesel
1623,petrol
1624,petrol
1625,petrol
1626,petrol
1627,petrol
1628,petrol
1629,diesel
1630,petrol
1631,petrol
1632,petrol
1633,diesel
1634,petrol
1635,diesel
1636,petrol
1637,diesel
1638,petrol
1639,petrol
1640,petrol
1641,petrol
1642,petrol
1643,petrol
1644,petrol
1645,petrol
1646,petrol
1647,petrol
1648,petrol
1649,petrol
1650,petrol
1651,petrol
1652,petrol
1653,petrol
1654,petrol
1655,petrol
1656,diesel
1657,petrol
1658,petrol
1659,petrol
1660,petrol
1661,diesel
1662,diesel
1663,diesel
1664,petrol
1665,petrol
1666,diesel
1667,diesel
1668,petrol
1669,diesel
1670,petrol
1671,petrol
1672,petrol
1673,petrol
1674,petrol
1675,petrol
1676,petrol
1677,petrol
1678,diesel
1679,petrol
1680,petrol
1681,petrol
1682,diesel
1683,petrol
1684,diesel
1685,petrol
1686,petrol
1687,diesel
1688,petrol
1689,petrol
1690,diesel
1691,petrol
1692,petrol
1693,petrol
1694,petrol
1695,petrol
1696,petrol
1697,petrol
1698,petrol
1699,petrol
1700,petrol
1701,petrol
1702,petrol
1703,petrol
1704,petrol
1705,petrol
1706,petrol
1707,petrol
1708,petrol
1709,petrol
1710,petrol
1711,petrol
1712,petrol
1713,diesel
1714,diesel
1715,diesel
1716,petrol
1717,petrol
1718,petrol
1719,petrol
1720,petrol
1721,petrol
1722,petrol
1723,petrol
1724,petrol
1725,petrol
1726,petrol
1727,petrol
1728,petrol
1729,diesel
1730,petrol
1731,diesel
1732,diesel
1733,petrol
1734,petrol
1735,petrol
1736,diesel
1737,petrol
1738,petrol
1739,petrol
1740,diesel
1741,petrol
1742,automatic
1743,diesel
1744,petrol
1745,petrol
1746,petrol
1747,petrol
1748,automatic
1749,petrol
1750,petrol
1751,petrol
1752,petrol
1753,petrol
1754,petrol
1755,petrol
1756,petrol
1757,diesel
1758,petrol
1759,petrol
1760,petrol
1761,petrol
1762,petrol
1763,petrol
1764,petrol
1765,diesel
1766,petrol
1767,diesel
1768,petrol
1769,petrol
1770,petrol
1771,petrol
1772,petrol
1773,petrol
1774,petrol
1775,petrol
1776,diesel
1777,petrol
1778,petrol
1779,petrol
1780,petrol
1781,petrol
1782,petrol
1783,petrol
1784,petrol
1785,petrol
1786,diesel
1787,petrol
1788,petrol
1789,petrol
1790,petrol
1791,petrol
1792,petrol
1793,petrol
1794,petrol
1795,petrol
1796,petrol
1797,petrol
1798,petrol
1799,petrol
1800,diesel
1801,petrol
1802,diesel
1803,petrol
1804,petrol
1805,diesel
1806,petrol
1807,petrol
1808,petrol
1809,petrol
1810,automatic
1811,petrol
1812,petrol
1813,petrol
1814,petrol
1815,petrol
1816,petrol
1817,petrol
1818,petrol
1819,petrol
1820,petrol
1821,petrol
1822,petrol
1823,petrol
1824,petrol
1825,petrol
1826,petrol
1827,petrol
1828,petrol
1829,diesel
1830,petrol
1831,diesel
1832,petrol
1833,petrol
1834,petrol
1835,petrol
1836,petrol
1837,petrol
1838,petrol
1839,petrol
1840,petrol
1841,petrol
1842,petrol
1843,petrol
1844,petrol
1845,petrol
1846,petrol
1847,petrol
1848,petrol
1849,petrol
1850,petrol
1851,petrol
1852,petrol
1853,petrol
1854,petrol
1855,petrol
1856,petrol
1857,petrol
1858,petrol
1859,petrol
1860,petrol
1861,petrol
1862,petrol
1863,petrol
1864,diesel
1865,diesel
1866,petrol
1867,petrol
1868,petrol
1869,petrol
1870,petrol
1871,petrol
1872,diesel
1873,petrol
1874,diesel
1875,petrol
1876,petrol
1877,petrol
1878,petrol
1879,diesel
1880,petrol
1881,petrol
1882,petrol
1883,petrol
1884,petrol
1885,petrol
1886,diesel
1887,diesel
1888,petrol
1889,petrol
1890,petrol
1891,petrol
1892,petrol
1893,petrol
1894,diesel
1895,petrol
1896,petrol
1897,petrol
1898,petrol
1899,diesel
1900,petrol
1901,petrol
1902,petrol
1903,petrol
1904,petrol
1905,diesel
1906,petrol
1907,petrol
1908,petrol
1909,petrol
1910,petrol
1911,petrol
1912,petrol
1913,petrol
1914,automatic
1915,diesel
1916,petrol
1917,petrol
1918,diesel
1919,petrol
1920,petrol
1921,petrol
1922,petrol
1923,petrol
1924,diesel
1925,petrol
1926,diesel
1927,petrol
1928,diesel
1929,petrol
1930,petrol
1931,petrol
1932,petrol
1933,petrol
1934,petrol
1935,petrol
1936,petrol
1937,petrol
1938,diesel
1939,petrol
1940,petrol
1941,petrol
1942,petrol
1943,petrol
1944,petrol
1945,diesel
1946,petrol
1947,petrol
1948,petrol
1949,petrol
1950,petrol
1951,petrol
1952,petrol
1953,petrol
1954,petrol
1955,petrol
1956,petrol
1957,petrol
1958,petrol
1959,petrol
1960,petrol
1961,petrol
1962,petrol
1963,petrol
1964,petrol
1965,petrol
1966,petrol
1967,petrol
1968,petrol
1969,petrol
1970,petrol
1971,petrol
1972,petrol
1973,petrol
1974,petrol
1975,petrol
1976,petrol
1977,petrol
1978,petrol
1979,petrol
1980,diesel
1981,petrol
1982,petrol
1983,petrol
1984,diesel
1985,petrol
1986,petrol
1987,petrol
1988,diesel
1989,petrol
1990,petrol
1991,petrol
1992,petrol
1993,petrol
1994,petrol
1995,petrol
1996,petrol
1997,petrol
1998,petrol
1999,diesel
2000,petrol
2001,petrol
2002,diesel
2003,petrol
2004,petrol
2005,petrol
2006,petrol
2007,diesel
2008,petrol
2009,diesel
2010,diesel
2011,petrol
2012,petrol
2013,petrol
2014,petrol
2015,petrol
2016,petrol
2017,petrol
2018,petrol
2019,petrol
2020,petrol
2021,petrol
2022,petrol
2023,petrol
2024,petrol
2025,petrol
2026,petrol
2027,petrol
2028,petrol
2029,petrol
2030,petrol
2031,diesel
2032,petrol
2033,petrol
2034,petrol
2035,petrol
2036,petrol
2037,diesel
2038,diesel
2039,petrol
2040,petrol
2041,diesel
2042,petrol
2043,diesel
2044,petrol
2045,diesel
2046,petrol
2047,petrol
2048,petrol
2049,petrol
2050,petrol
2051,diesel
2052,petrol
2053,petrol
2054,petrol
2055,petrol
2056,petrol
2057,diesel
2058,petrol
2059,petrol
2060,petrol
2061,diesel
2062,petrol
2063,petrol
2064,petrol
2065,petrol
2066,petrol
2067,petrol
2068,petrol
2069,petrol
2070,petrol
2071,petrol
2072,petrol
2073,petrol
2074,petrol
2075,petrol
2076,petrol
2077,petrol
2078,petrol
2079,petrol
2080,petrol
2081,petrol
2082,diesel
2083,petrol
2084,petrol
2085,petrol
2086,petrol
2087,petrol
2088,diesel
2089,petrol
2090,petrol
2091,petrol
2092,petrol
2093,diesel
2094,petrol
2095,petrol
2096,diesel
2097,diesel
2098,petrol
2099,petrol
2100,diesel
2101,diesel
2102,petrol
2103,petrol
2104,petrol
2105,petrol
2106,petrol
2107,petrol
2108,petrol
2109,petrol
2110,automatic
2111,petrol
2112,petrol
2113,diesel
2114,petrol
2115,petrol
2116,petrol
2117,petrol
2118,petrol
2119,petrol
2120,petrol
2121,petrol
2122,petrol
2123,petrol
2124,petrol
2125,diesel
2126,petrol
2127,diesel
2128,petrol
2129,petrol
2130,petrol
2131,petrol
2132,petrol
2133,petrol
2134,diesel
2135,diesel
2136,petrol
2137,petrol
2138,petrol
2139,petrol
