,Female
1773,"2,299"
1774,"4,798"
1775,"2,086"
1776,"1,137"
1777,"5,268"
1778,"2,635"
1779,"3,391"
1780,"4,605"
1781,"4,585"
1782,"5,631"
1783,"6,036"
1784,"5,725"
1785,"2,643"
1786,"1,992"
1787,"1,356"
1788,"6,369"
1789,"3,793"
1790,"3,265"
1791,"2,252"
1792,"2,456"
1793,"1,160"
1794,"1,370"
1795,"3,099"
1796,"3,227"
1797,"1,532"
1798,"1,524"
1799,"2,775"
1800,"2,261"
1801,"2,319"
1802,"1,886"
1803,"3,365"
1804,"2,885"
1805,"2,720"
1806,"2,818"
1807,"4,217"
1808,"2,923"
1809,604
1810,"4,378"
1811,"2,338"
1812,"2,158"
1813,"1,835"
1814,"4,041"
1815,"1,615"
1816,"2,052"
1817,715
1818,"1,202"
1819,"1,967"
1820,"1,724"
1821,"2,444"
1822,"2,086"
1823,696
1824,"2,988"
1825,"2,466"
1826,962
1827,"4,087"
1828,"3,221"
1829,"1,635"
1830,"1,998"
1831,"1,780"
1832,987
1833,"3,133"
1834,"2,778"
1835,634
1836,"1,816"
1837,782
1838,"1,777"
1839,"1,992"
1840,"1,779"
1841,987
1842,629
1843,"1,529"
1844,823
1845,816
1846,"1,791"
1847,968
1848,583
1849,736
1850,"1,204"
1851,"2,215"
1852,"1,197"
1853,"1,783"
1854,"1,257"
1855,509
1856,"1,952"
1857,766
1858,"1,830"
1859,857
1860,"1,076"
1861,407
1862,885
1863,688
1864,841
1865,486
1866,"1,263"
1867,716
1868,"1,357"
1869,743
1870,408
1871,375
1872,"1,140"
1873,"1,311"
1874,589
1875,"2,050"
1876,290
1877,421
1878,"1,202"
1879,"1,536"
1880,257
1881,707
1882,192
1883,"1,739"
1884,874
1885,"1,052"
1886,270
1887,741
1888,988
1889,279
1890,460
1891,"1,392"
1892,584
1893,357
1894,566
1895,741
1896,522
1897,627
1898,"1,202"
1899,384
1900,830
1901,960
1902,644
1903,199
1904,653
1905,450
1906,354
1907,249
1908,746
1909,562
1910,718
1911,"1,317"
1912,"1,400"
1913,280
