Unnamed: 0,Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
223, Daihatsu ,Terios,26.19775,4.625,77.0,1495.0,petrol,"5,230","4,903",641,"10,774"
224,Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,petrol,"2,453","7,738",579,"10,750"
225,Fiat,Multipla,25.2075,5.0,80.5,1753.0,petrol,"3,615","6,043",636,"10,294"
226,Audi,A8 ,116.545,8.0,230.0,2981.0,petrol,749,"8,781",545,"10,075"
227,Kia,Soul,33.495,0.0,81.0,285.0,autometic,"4,181","5,504",383,"10,068"
228,Skoda, Citigo,12.6825,5.0,45.0,999.0,petrol,"4,960","3,867",404,"9,231"
229,Suzuki,Liana ,18.88233333,4.666666667,74.0,1523.333333,petrol,"3,467","5,205",543,"9,215"
230,Bentley,Continental,285.247,7.2,428.2,5577.8,petrol,"1,024","7,602",406,"9,032"
231,Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,"2,875","5,701",425,"9,001"
232, Nissan,Pathfinder,60.9552,5.5,146.0,2588.6,diesel,"2,239","6,393",325,"8,957"
233,Peugeot,205,13.11525,4.75,50.875,1430.75,petrol,"2,841","5,690",412,"8,943"
234,Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,petrol,"2,050","6,096",608,"8,754"
235,Ford,B-MAX,22.91875,5.25,75.5,1288.5,petrol,"3,496","5,001",187,"8,684"
236,Volvo,940,30.236875,4.5,110.0,2316.0,petrol,"1,547","6,659",463,"8,669"
237,Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,petrol,"2,009","6,234",371,"8,614"
238,Hyundai,Ix20,27.4066,6.0,89.0,1552.0,petrol,"3,351","5,033",223,"8,607"
239,Volvo,850,36.38445588,4.5,125.7058824,2294.764706,petrol,"1,438","6,702",427,"8,567"
240,Toyota ,Verso-S,22.047,3.6,73.0,1329.0,petrol,"2,986","4,955",571,"8,512"
241,Audi,S3,60.87,6.75,228.0,1984.0,petrol,"1,345","6,675",322,"8,342"
242,Alfa-Romeo,159,43.26150943,5.905660377,135.3773585,2276.0,diesel,"1,024","6,851",383,"8,258"
243,Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,"3,305","4,259",472,"8,036"
244,Smart,Forfour,24.674,0.0,60.0,160.0,automatic,"4,251","3,137",578,"7,966"
245,Citroen,C8,45.59125,5.25,104.1666667,2027.833333,petrol,"2,619","4,896",420,"7,935"
246,Mazda,626,20.7195,4.71875,81.375,1950.90625,petrol,"1,753","5,710",430,"7,893"
247,Dacia,Sandero,14.04,5.0,66.0,898.0,petrol,"3,269","4,395",209,"7,873"
248,Peugeot,807,45.76307692,5.307692308,109.0769231,2053.0,diesel,"2,435","4,829",433,"7,697"
249,Peugeot,5008,42.50666667,7.142857143,99.52380952,1294.142857,petrol,"2,622","4,563",395,"7,580"
250,Mitsubishi,ASX,33.40333333,0.0,110.0,1998.0,petrol,"2,546","4,639",320,"7,505"
251,Porsche,Cayman,84.60125,6.5,220.5,3071.0,petrol,"1,082","5,864",362,"7,308"
252,Chrysler,300C,70.31925,4.5,199.0,4123.5,petrol,767,"6,232",249,"7,248"
253,Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,petrol,"1,175","5,685",385,"7,245"
254,Honda,Insight,24.612,0.0,72.0,1339.0,petrol,"2,144","4,587",460,"7,191"
255,Dacia,Duster,20.75666667,5.666666667,89.33333333,1332.0,petrol,"2,180","4,708",195,"7,083"
256,Lexus,CT,32.73833333,0.0,100.0,1798.0,petrol,"2,112","4,220",675,"7,007"
257,Peugeot,1007,18.657,5.0,59.58333333,1407.333333,petrol,"3,340","3,061",417,"6,818"
258,Peugeot,508,46.85390244,7.707317073,125.0487805,1642.04878,diesel,919,"5,657",231,"6,807"
259,Citroen,Xantia,24.84390244,4.756097561,84.92682927,1982.756098,petrol,"1,192","5,246",346,"6,784"
260,Peugeot,RCZ,38.93888889,6.0,135.5555556,1642.333333,petrol,"3,135","3,218",352,"6,705"
