,Male
1330,"19,649"
1331,"15,519"
1332,"10,268"
1333,"16,002"
1334,"19,245"
1335,"11,468"
1336,"10,831"
1337,"12,208"
1338,"14,272"
1339,"12,382"
1340,"17,913"
1341,"12,395"
1342,"16,106"
1343,"16,836"
1344,"13,535"
1345,"12,349"
1346,"10,393"
1347,"8,293"
1348,"10,998"
1349,"12,105"
1350,"13,020"
1351,"13,381"
1352,"12,064"
1353,"12,888"
1354,"14,347"
1355,"13,168"
1356,"10,199"
1357,"10,553"
1358,"9,719"
1359,"15,292"
1360,"13,583"
1361,"13,068"
1362,"12,679"
1363,"7,570"
1364,"12,867"
1365,"9,314"
1366,"14,051"
1367,"12,692"
1368,"11,093"
1369,"13,611"
1370,"9,042"
1371,"10,411"
1372,"11,052"
1373,"12,224"
1374,"11,607"
1375,"10,796"
1376,"8,854"
1377,"8,695"
1378,"9,425"
1379,"5,256"
1380,"8,229"
1381,"5,239"
1382,"6,021"
1383,"7,561"
1384,"6,487"
1385,"1,878"
1386,"10,766"
1387,"7,280"
1388,"5,355"
1389,"5,825"
1390,"6,837"
1391,"6,276"
1392,"8,256"
1393,"4,544"
1394,"8,452"
1395,"9,087"
1396,"10,071"
1397,"8,950"
1398,"7,451"
1399,"4,959"
1400,"8,080"
1401,"8,232"
1402,"6,122"
1403,"7,462"
1404,"4,165"
1405,"8,186"
1406,"7,026"
1407,"7,175"
1408,"4,854"
1409,"7,334"
1410,"6,995"
1411,"5,878"
1412,"7,833"
1413,"5,454"
1414,"5,516"
1415,"5,196"
1416,"7,223"
1417,"5,282"
1418,"3,849"
1419,"5,031"
1420,"3,243"
1421,"3,931"
1422,"5,039"
1423,"6,957"
1424,"5,159"
1425,"2,938"
1426,"3,154"
1427,"5,387"
1428,"6,279"
1429,"5,293"
1430,"5,431"
1431,"4,720"
1432,"5,668"
1433,"3,608"
1434,"6,218"
1435,"4,801"
1436,"3,347"
1437,"5,579"
1438,"4,566"
1439,"5,707"
1440,"4,218"
1441,"5,696"
1442,"4,732"
1443,"4,161"
1444,"2,895"
1445,"3,349"
1446,"3,577"
1447,"4,739"
1448,"4,520"
1449,"3,528"
1450,"3,930"
1451,"3,615"
1452,"4,409"
1453,"3,526"
1454,"3,790"
1455,"4,556"
1456,"4,558"
1457,"3,581"
1458,"3,186"
1459,"3,059"
1460,"3,435"
1461,"3,220"
1462,"4,084"
1463,"4,133"
1464,"2,997"
1465,"3,393"
1466,"3,343"
1467,"3,075"
1468,"3,371"
1469,"3,509"
1470,"3,374"
1471,"3,359"
1472,"2,496"
1473,"2,135"
1474,"3,434"
1475,"2,016"
1476,"3,552"
1477,"2,615"
1478,"3,002"
1479,"2,345"
1480,"2,425"
1481,"2,219"
1482,"3,240"
1483,"2,480"
1484,"1,868"
1485,"3,093"
1486,"3,079"
1487,"2,167"
1488,"2,658"
1489,"2,611"
1490,"1,823"
1491,"3,001"
1492,"2,648"
1493,"2,874"
1494,"2,265"
1495,"2,682"
1496,"2,105"
1497,"1,378"
1498,"2,043"
1499,"2,489"
1500,"2,678"
1501,"2,668"
1502,"2,012"
1503,"1,465"
1504,"2,540"
1505,"2,103"
1506,"1,409"
1507,"1,967"
1508,"1,180"
1509,"2,014"
1510,"2,047"
1511,"1,946"
1512,"1,194"
1513,"1,272"
1514,"1,563"
1515,"1,731"
1516,"1,625"
1517,"1,822"
1518,"1,842"
1519,"1,866"
1520,"1,396"
1521,"1,898"
1522,"1,948"
1523,"1,914"
1524,"1,329"
1525,"1,369"
1526,"1,768"
1527,"1,313"
1528,"1,527"
1529,736
1530,"1,519"
1531,"1,593"
1532,551
1533,"1,674"
1534,"1,317"
1535,"1,450"
1536,"1,384"
1537,"1,500"
1538,"1,179"
1539,"1,268"
1540,"1,101"
1541,"1,154"
1542,"1,467"
1543,"1,468"
1544,"1,198"
1545,"1,056"
1546,"1,432"
1547,"1,330"
1548,"1,051"
1549,930
1550,"1,382"
1551,"1,080"
1552,"1,288"
1553,938
1554,"1,105"
1555,"1,190"
1556,805
1557,"1,067"
1558,"1,217"
1559,"1,208"
1560,954
1561,847
1562,694
1563,"1,155"
1564,842
1565,928
1566,752
1567,750
1568,"1,108"
1569,871
1570,855
1571,"1,081"
1572,"1,031"
1573,"1,001"
1574,866
1575,847
1576,701
1577,484
1578,611
1579,872
1580,923
1581,819
1582,877
1583,516220
1584,695527
1585,442741
1586,259984
1587,483044
1588,407075
1589,197990
1590,193661
1591,172260
1592,266172
1593,108625
1594,246678
1595,104932
1596,182746
1597,145324
1598,184659
1599,202998
1600,185948
1601,130129
1602,149523
1603,127525
1604,"67,995"
1605,114474
1606,"84,182"
1607,"74,781"
1608,131369
1609,106412
1610,128508
1611,"96,824"
1612,135036
1613,121815
1614,"74,796"
1615,"84,457"
1616,113448
1617,"55,479"
1618,109050
1619,"76,885"
1620,"50,767"
1621,"98,187"
1622,"68,954"
1623,"88,741"
1624,"47,024"
1625,"54,443"
1626,"83,036"
1627,"55,978"
1628,"84,707"
1629,"67,720"
1630,"48,109"
1631,"77,309"
1632,"42,230"
1633,"70,504"
1634,"69,864"
1635,"67,584"
1636,"21,243"
1637,"61,703"
1638,"41,930"
1639,"42,190"
1640,"51,394"
1641,"56,579"
1642,"29,243"
1643,"50,334"
1644,"44,407"
1645,"36,344"
1646,"15,898"
1647,"41,339"
1648,"27,156"
1649,"35,391"
1650,"43,257"
1651,"17,499"
1652,"21,000"
1653,"32,790"
1654,"37,407"
1655,"23,368"
1656,"38,385"
1657,"17,121"
1658,"43,812"
1659,"20,952"
1660,"28,815"
1661,"36,755"
1662,"39,850"
1663,"38,468"
1664,"37,766"
1665,"32,402"
1666,"31,507"
1667,"27,414"
1668,"33,388"
1669,"30,516"
1670,"20,138"
1671,"15,487"
1672,"26,973"
1673,"16,604"
1674,"35,025"
1675,"18,919"
1676,"17,299"
1677,"38,059"
1678,"24,098"
1679,"23,530"
1680,"22,143"
1681,"23,112"
1682,"25,844"
1683,"27,515"
1684,"20,847"
1685,"25,058"
1686,"21,589"
1687,"22,301"
1688,"13,743"
1689,"11,787"
1690,"10,510"
1691,"26,217"
1692,"15,619"
1693,"27,676"
1694,"23,830"
1695,"17,747"
1696,"16,639"
1697,"22,641"
1698,"12,758"
1699,"12,558"
1700,"17,779"
1701,"16,364"
1702,"15,888"
1703,"19,279"
1704,"17,216"
1705,"18,774"
1706,"16,685"
1707,"8,314"
1708,"12,942"
1709,"17,272"
1710,"14,993"
1711,"11,702"
1712,"13,693"
1713,"14,939"
1714,"19,985"
1715,"16,079"
1716,"15,840"
1717,"14,927"
1718,"8,540"
1719,"15,723"
1720,"10,500"
1721,"10,948"
1722,"15,968"
1723,"18,681"
1724,"17,664"
1725,"14,317"
1726,"16,395"
1727,"8,824"
1728,"18,962"
1729,"13,742"
1730,"15,721"
1731,"17,287"
1732,"14,650"
1733,"16,009"
1734,"11,350"
1735,"13,205"
1736,"11,615"
1737,"14,903"
1738,"10,144"
1739,"13,808"
1740,"11,392"
1741,"10,504"
1742,"9,199"
1743,"9,923"
1744,"12,651"
1745,"12,409"
1746,"15,809"
1747,"9,062"
1748,"13,595"
1749,"10,770"
1750,"7,655"
1751,"14,308"
1752,"11,874"
1753,"12,026"
1754,"9,251"
1755,"9,923"
1756,"10,092"
