Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
Volkswagen,Up,17.07,5.12,51.38,999.0,petrol,"17,894","10,220","1,082","29,196"
Suzuki,Jimny,25.94,4.78,67.0,1372.67,petrol,"12,767","14,101","1,973","28,841"
Chevrolet,Matiz,9.49,4.91,40.82,850.27,petrol,"17,374","9,404","1,692","28,470"
Porsche,Boxster,83.5,6.5,213.5,3071.0,petrol,"6,312","20,033","1,597","27,942"
Suzuki,Wagon,9.86,5.0,50.0,1090.4,petrol,"12,804","12,629","1,891","27,324"
Peugeot,3008,40.98,7.31,114.27,1352.58,petrol,"8,974","17,213","1,071","27,258"
Mazda,323,17.34,4.75,70.92,1683.61,petrol,"9,404","15,999","1,566","26,969"
Ford,Puma,30.38,6.31,94.06,935.62,petrol,"14,037","11,079","1,749","26,865"
Fiat,Stilo,22.78,5.27,92.36,1837.36,petrol,"8,974","15,843","1,340","26,157"
Volkswagen,Scirocco,33.71,6.15,120.15,1750.62,petrol,"6,728","17,313","1,072","25,113"
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,"3,013","20,604","1,154","24,771"
Seat,Altea,27.13,5.77,96.05,1774.78,diasel,"9,495","14,157",999,"24,651"
Volvo,C30,32.49,5.3,113.28,2093.02,petrol,"9,639","13,551","1,421","24,611"
Hyundai,Accent,14.29,4.6,75.4,1479.0,petrol,"8,849","13,520","1,296","23,665"
Volkswagen,Lupo,13.88,4.75,47.75,1373.75,petrol,"12,512","8,828","1,320","22,660"
Mercedes,Sprinter,43.07,6.25,104.2,2222.71,diesel,"2,239","18,660","1,630","22,529"
Hyundai,Ix35,38.9,5.84,113.84,1926.0,diasel,"7,991","13,708",660,"22,359"
Renault,Kangoo,18.77,4.86,67.02,1391.02,diesel,"7,486","13,273","1,332","22,091"
Mazda,5,22.13,5.5,75.09,1622.68,petrol,"8,561","12,385","1,099","22,045"
Volkswagen,Jetta,31.31,6.26,96.93,1587.22,petrol,"4,610","16,259",989,"21,858"
Seat,Alhambra,49.82,6.0,115.83,1746.94,petrol,"5,610","14,659","1,284","21,553"
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,"5,657","14,370","1,245","21,272"
Suzuki,Ignis,19.45,3.57,61.0,1197.0,petrol,"10,103","9,623","1,499","21,225"
Suzuki,SX4,20.67,4.75,88.0,1586.0,petrol,"9,035","10,925","1,217","21,177"
Kia,Carens,31.2,6.0,105.88,1755.75,petrol,"6,193","13,424",866,"20,483"
Audi,Q5,64.51,6.85,144.23,2048.54,diesel,"6,588","12,761","1,044","20,393"
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,"2,550","16,634","1,069","20,253"
Peugeot,Partner,20.36,5.86,82.25,1534.39,diesel,"5,531","13,570",989,"20,090"
Subaru,Forester,51.65,0.0,110.0,1995.0,petrol,"5,511","13,236","1,307","20,054"
Skoda,Yeti,30.35,6.3,83.5,1452.3,petrol,"5,800","13,365",883,"20,048"
Volkswagen,Touareg,94.1,8.0,190.0,2967.0,diesel,"4,973","14,059",906,"19,938"
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,"10,570","7,901","1,075","19,546"
Skoda,Superb,39.72,6.8,110.0,1592.0,petrol,"2,367","16,399",763,"19,529"
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,"7,015","11,663",837,"19,515"
BMW,X1,51.44,7.2,123.93,1863.13,diesel,"7,442","10,717","1,268","19,427"
Audi,Q7,106.55,8.0,210.0,2976.33,diesel,"4,579","13,244",981,"18,804"
Alfa-Romeo,147,25.34,5.19,95.1,1802.77,petrol,"5,743","11,552","1,064","18,359"
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,"5,595","11,658",925,"18,178"
BMW,740i,115.53,8.0,250.0,2998.0,petrol,"1,519","15,286","1,055","17,860"
MG,TF,32.09,4.0,98.2,1754.4,petrol,"6,485","10,315",930,"17,730"
Volvo,S80,50.94,6.27,138.28,1986.77,diesel,"2,261","14,400",963,"17,624"
Volkswagen,Fox,12.5,5.0,48.67,1336.67,petrol,"10,468","6,154",995,"17,617"
Renault,Twingo,14.94,5.2,59.6,958.6,petrol,"10,447","6,015",672,"17,134"
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,"3,703","12,773",607,"17,083"
Fiat,Doblo,25.17,5.52,79.31,1523.74,diesel,"4,440","11,730",900,"17,070"
Volkswagen,Eos,42.29,6.0,113.8,1740.0,petrol,"9,047","6,660","1,352","17,059"
BMW,M3,135.11,6.5,309.0,3999.0,petrol,"1,383","14,930",661,"16,974"
Chrysler,PT,29.88,4.74,109.11,2238.63,petrol,"6,366","9,477","1,029","16,872"
Hyundai,Matrix,18.51,4.6,76.0,1599.0,petrol,"6,321","9,531",789,"16,641"
Toyota,IQ,17.32,3.67,58.44,1152.89,petrol,"8,634","6,539","1,288","16,461"
Mercedes,SLS,264.68,7.0,420.0,6208.0,petrol,"3,121","12,431",879,"16,431"
Audi,A2,23.05,5.0,55.0,1406.0,petrol,"7,685","7,516","1,211","16,412"
BMW,Z3,39.74,4.6,115.0,2234.4,petrol,"5,143","9,579",969,"15,691"
Volvo,C70,52.2,5.31,126.5,2323.94,petrol,"4,642","10,078",893,"15,613"
Skoda,Roomster,20.92,5.38,68.88,1272.44,petrol,"5,670","9,000",799,"15,469"
Suzuki,Splash,13.15,4.8,55.4,1144.8,petrol,"7,977","6,376",905,"15,258"
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,"3,863","10,252","1,118","15,233"
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,"7,546","6,266",811,"14,623"
Chevrolet,Aveo,18.61,5.2,69.6,1330.4,petrol,"6,839","6,945",728,"14,512"
Volvo,XC70,58.47,6.44,148.52,2174.04,diesel,"3,053","10,247",967,"14,267"
Hyundai,Tucson,41.59,6.46,111.31,1624.77,petrol,"4,687","9,004",571,"14,262"
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,"2,989","10,398",823,"14,210"
Porsche,Cayenne,158.98,8.0,326.0,3295.0,petrol,"3,418","10,034",731,"14,183"
Alfa-Romeo,156,32.9,5.33,116.29,2081.38,petrol,"2,428","10,882",646,"13,956"
BMW,640i,114.88,8.0,235.0,2979.0,petrol,"1,708","11,265",694,"13,667"
Chevrolet,Spark,11.4,5.0,52.5,1047.75,petrol,"7,685","5,142",744,"13,571"
Chevrolet,Kalos,14.22,4.73,64.45,1353.36,petrol,"6,758","6,012",769,"13,539"
Mitsubishi,Outlander,37.45,2.61,120.33,2085.06,petrol,"3,970","8,910",620,"13,500"
Nissan,Pixo,9.47,4.67,50.0,996.0,petrol,"8,094","4,700",615,"13,409"
