,Engine CC
817,1743.44186
818,1723.0
819,1835.846154
820,1596.92
821,2283.112903
822,1498.0
823,1536.0
824,1424.666667
825,1677.949153
826,1292.352941
827,2083.523077
828,1873.261538
829,2979.0
830,1847.666667
831,1364.0
832,2425.428571
833,1472.826087
834,2598.818182
835,1796.6
836,1698.64
837,1205.192982
838,1136.692308
839,1366.294118
840,1963.666667
841,1699.119048
842,1920.026316
843,2261.193548
844,1367.272727
845,2151.647059
846,2521.092437
847,1462.3625
848,1998.0
849,1650.205128
850,2043.820513
851,1855.0
852,1718.571429
853,2790.454545
854,1470.909091
855,2095.185185
856,1615.370787
857,1933.021739
858,998.0
859,998.0
860,1971.163636
861,1905.631579
862,1180.545455
863,2011.555556
864,998.0
865,1186.333333
866,1348.285714
867,1928.714286
868,1820.65625
869,1095.777778
870,1310.0
871,1028.923077
872,1496.0
873,1475.0
874,2106.5
875,1482.5
876,1994.0
877,998.0
878,3041.0
879,1424.857143
880,1515.282051
881,1528.807692
882,2994.666667
883,1774.8125
884,2178.192308
885,1382.75
886,1452.0
887,998.0
888,1853.9
889,1374.046512
890,2876.0
891,2934.631579
892,2748.333333
893,1805.924528
894,1921.46789
895,996.0
896,1891.588235
897,1757.6
898,1448.6
899,1683.607843
900,1861.833333
901,2031.469388
902,1729.333333
903,2813.0
904,935.625
905,1886.555556
906,1460.795455
907,2106.5
908,1479.0
909,1854.2
910,1797.4
911,1969.0
912,1837.363636
913,2719.842105
914,3005.4
915,1634.2
916,1387.621622
917,1969.0
918,1052.272727
919,1090.4
920,1997.0
921,1298.666667
922,2396.4
923,2242.636364
924,1798.0
925,1372.666667
926,850.2727273
927,592.5625
928,1108.0
929,1545.428571
930,2488.0
931,3071.0
932,2778.0
933,2048.666667
934,1981.818182
935,1373.75
936,2222.710526
937,1466.307692
938,1518.0
939,1746.944444
940,1802.774194
941,1197.0
942,1794.0
943,1774.778947
944,2081.375
945,1391.023256
946,1663.928571
947,2093.021739
948,1995.0
949,1755.75
950,1754.4
951,1791.230769
952,1986.766667
953,999.0
954,2998.0
955,1622.681818
956,2238.631579
957,2239.666667
958,1587.222222
959,1773.7
960,1596.92
961,1308.285714
962,1709.538462
963,1534.392857
964,1599.0
965,3999.0
966,1336.666667
967,2234.4
968,2967.0
969,1406.0
970,2084.37931
971,2697.368421
972,1586.0
973,1523.741935
974,2323.9375
975,6208.0
976,1750.615385
977,1506.5
978,1740.0
979,868.3333333
980,1430.75
981,2548.833333
982,335.0
983,958.6
984,1615.333333
985,1377.566265
986,1817.315789
987,1624.769231
988,1982.756098
989,2208.090909
990,2294.764706
991,1353.363636
992,1183.25
993,2976.333333
994,1384.0
995,1597.0
996,1950.90625
997,1753.0
998,1592.0
999,1703.153846
1000,1498.0
1001,1914.714286
1002,2316.0
1003,1152.888889
1004,1612.928571
1005,2304.97561
1006,1495.0
1007,2174.037037
1008,679.0
1009,2048.538462
1010,1410.357143
1011,2313.666667
1012,3295.0
1013,1272.4375
1014,2979.0
1015,2085.055556
1016,1330.4
1017,1863.133333
1018,996.0
1019,1523.333333
1020,1352.576923
1021,1324.357143
1022,2981.0
1023,1773.0
1024,2284.133333
1025,2972.307692
1026,5000.0
1027,2027.833333
1028,2053.0
1029,160.0
1030,2526.5
1031,1242.0
1032,2588.6
1033,1144.8
1034,1926.0
1035,1428.4
1036,2362.0
1037,2117.6
1038,5577.8
1039,1938.0
1040,1984.0
1041,1452.3
1042,4123.5
1043,1407.333333
1044,1997.0
1045,2276.0
1046,1405.0
1047,3498.0
1048,2247.333333
1049,1775.777778
1050,1995.0
1051,1047.75
1052,1836.5
1053,2460.75
1054,1972.8125
1055,1998.0
1056,5000.0
1057,2019.75
1058,3071.0
1059,1695.0
1060,285.0
1061,1730.0
1062,1911.75
1063,899.0
1064,1742.6
1065,2331.333333
1066,1509.75
1067,698.0
1068,1832.888889
1069,3764.333333
1070,2336.52
1071,1741.0
1072,2050.333333
1073,1817.315789
1074,1836.875
1075,1339.0
1076,1997.142857
1077,2696.5
1078,2127.333333
1079,1363.5
1080,1655.741935
1081,2315.0
1082,5341.0
1083,1827.8
1084,2126.8
1085,1594.0
1086,1908.166667
1087,3100.333333
1088,2116.0
1089,3344.75
1090,1833.0
1091,5935.0
1092,3199.0
1093,2344.0
1094,1329.0
1095,1294.142857
1096,1344.823529
1097,2378.0
1098,2309.0
1099,1642.333333
1100,1998.0
1101,2245.6
1102,2734.5
1103,4395.0
1104,1998.0
1105,2309.340426
1106,1864.8
1107,3740.0
1108,1968.0
1109,1552.0
1110,3377.444444
1111,2953.588235
1112,0.0
1113,1039.5
1114,1586.0
1115,1329.0
1116,2326.358974
1117,2634.222222
1118,2458.909091
1119,1781.0
1120,2679.285714
